ID,ID2,Item title,Final URL,Image URL,Item subtitle,Item Description,Item category,Price,Sale price,Contextual keywords,Item address,Tracking template,Custom parameter,Final mobile URL,Android app link,iOS app link,iOS app store ID,Formatted price,Formatted sale price
DH2920_111_4Y_CNF,,Air force 1 le gs,http://ballzy.eu/lt/product/air-force-1-le-gs-dh2920-111-4y-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_DH2920_111_4Y_CNF_c77279ee.jpg,,"salute to a legendale… sellest ongi legendid tehtud. nike air force 1 le toob tagasi 82. aasta kõvapuu ikooni igapäevaseks stiiliks, mis on täielikult valge või täielikult must. vastupidavus, tunnetus ja air on endiselt olemas neile, kes armastavad klassikalist… toote omadused: ehtne ja sünteetiline nahk on vastupidav ja kergesti puhastatav… varjatud air-põhjaüksus pakub klassikalist pehmendust… kummist tald toob vastupidava haardumise… toote om Apsilankykite pas mus ballzy.eu.",Kids' Street Shoes,109.00 EUR,94.00 EUR,"Nike,White,Lifestyle,in stock,Yes,Nike,Female|Children",,,,,,,,109€,94€
CT3839_002_4Y_CNF,,Air force 1 gs,http://ballzy.eu/lt/product/air-force-1-gs-ct3839-002-4y-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_CT3839_002_4Y_CNF_b9b9f67b.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Kids' Street Shoes,119.00 EUR,78.00 EUR,"Nike,Black,Lifestyle,in stock,Yes,Nike,Female|Children",,,,,,,,119€,78€
VN000D3HY281_050_CNF,,Ua old skool,http://ballzy.eu/lt/product/ua-old-skool-vn000d3hy281-050-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_VN000D3HY281_050_CNF_397cf6c5.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Women's Street Shoes,79.00 EUR,69.00 EUR,"Vans,Black,Lifestyle,in stock,Yes,Vans,Male|Female",,,,,,,,79€,69€
VN000EYEBWW1_040_CNF,,Ua classic slip-on,http://ballzy.eu/lt/product/ua-classic-slip-on-vn000eyebww1-040-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_VN000EYEBWW1_040_CNF_cc258f1a.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Women's Street Shoes,69.00 EUR,49.00 EUR,"Vans,Įvairiaspalvė,Lifestyle,in stock,Yes,Vans,Male|Female",,,,,,,,69€,49€
VN0A5I111KP1_090_CNF,,Ua sk8-hi gore-tex mte-3,http://ballzy.eu/lt/product/ua-sk8-hi-gore-tex-mte-3-vn0a5i111kp1-090-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_VN0A5I111KP1_090_CNF_1a028649.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Men's Boots,199.00 EUR,99.00 EUR,"Vans,Black,Lifestyle,in stock,Yes,Vans,Male",,,,,,,,199€,99€
DH8010_100_6_CNF,,Wmns air max 90,http://ballzy.eu/lt/product/wmns-air-max-90-dh8010-100-6-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_DH8010_100_6_CNF_0e09ffda.jpg,,"miski pole nii lennukas, miski pole nii mugav, miski pole nii tõestatud - nike air max 90 jääb oma juurtele truuks koos ikoonilise waffle-talla, õmmeldud pealisehete ja klassikaliste tpu-aktsentidega. värsked detailid annavad moodsa välimuse, samas kui max airi pehmendus lisab mugavust teie teekonnale… toote omadused: algselt jooksmiseks loodud max air üksus kannas lisab uskumatut pehmendust… polsterdatud, madala tipuga krae näeb välja elegantne ja tundub suurepäran Apsilankykite pas mus ballzy.eu.",Women's Street Shoes,169.00 EUR,79.00 EUR,"Nike,White,Lifestyle,in stock,Yes,Nike,Female",,,,,,,,169€,79€
VN000D3HBKA1_130_CNF,,Ua old skool,http://ballzy.eu/lt/product/ua-old-skool-vn000d3hbka1-130-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_VN000D3HBKA1_130_CNF_b13a146e.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Women's Street Shoes,84.00 EUR,69.00 EUR,"Vans,Black,Lifestyle,in stock,Yes,Vans,Male|Female",,,,,,,,84€,69€
162056C_102_10_CNF,,Chuck 70 hi,http://ballzy.eu/lt/product/chuck-70-hi-162056c-102-10-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_162056C_102_10_CNF_6a26dfae.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Kids' Street Shoes,99.00 EUR,69.00 EUR,"Converse,White,Lifestyle,in stock,Yes,Converse,Male|Female|Children",,,,,,,,99€,69€
S2108_807_3.5_CNF,,Shadow original,http://ballzy.eu/lt/product/shadow-original-s2108-807-3-5-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_S2108_807_3.5_CNF_749c3a3b.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Kids' Street Shoes,129.00 EUR,89.00 EUR,"Saucony,Smėlinė,Lifestyle,in stock,Yes,Saucony,Male|Female|Children",,,,,,,,129€,89€
S2044_642_3.5_CNF,,Jazz original,http://ballzy.eu/lt/product/jazz-original-s2044-642-3-5-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_S2044_642_3.5_CNF_c30c0c47.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Women's Street Shoes,119.00 EUR,79.00 EUR,"Saucony,Gray,Lifestyle,in stock,Yes,Saucony,Female",,,,,,,,119€,79€
DB3021_11.5_CNF,,Handball spezial,http://ballzy.eu/lt/product/handball-spezial-db3021-11-5-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_DB3021_11.5_CNF_e749636c.jpg,,"esmakordselt 1979. aastal eliitkäsipallurite jaoks kasutusele võetud kingad on nüüdseks armastatud oma klassikalise stiili tõttu. see versioon on valmistatud lehma mokkast pealsest, mis tagab paindliku tunde. pehme kummist välistald hoiab neid oma vintage-juurtele truuks.  Apsilankykite pas mus ballzy.eu.",Men's Street Shoes,114.00 EUR,,"adidas Originals,Black,Lifestyle,in stock,No,adidas Originals,Male",,,,,,,,114€,
DM9650_001_4Y_CNF,,Air jordan 1 mid ss gs,http://ballzy.eu/lt/product/air-jordan-1-mid-ss-gs-dm9650-001-4y-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_DM9650_001_4Y_CNF_97a6718c.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Kids' Street Shoes,109.00 EUR,71.00 EUR,"Jordan,Red,Lifestyle,in stock,Yes,Jordan,Female|Children",,,,,,,,109€,71€
DM0211_100_8_CNF,,Air force 1 ´07 fresh,http://ballzy.eu/lt/product/air-force-1-07-fresh-dm0211-100-8-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_DM0211_100_8_CNF_4bfd5287.jpg,,"legendaarne stiil muutub värskeks… vananemist ei saa peatada, kuid air force 1 ""fresh"" jõuab sellele üsna lähedale. pehme, tekstuurne nahk aitab varjata kortsumist ja seda on lihtne puhastada. debossitud kaubamärgiga, mis asendab kootud sildid, paarib lisapaelad, nii et saate rahulikult seda marmelaadifunkrit süüa. ja perforeeritud sokkpolster hoiab selle õhulisuse ja hingavuse. nüüd ei ole tõesti mingit põhjust, miks mitte rokkida valgeid valgeid… tooteomadused: pe Apsilankykite pas mus ballzy.eu.",Men's Street Shoes,134.00 EUR,,"Nike,White,Lifestyle,in stock,No,Nike,Male",,,,,,,,134€,
S1044_661_5_CNF,,Jazz original,http://ballzy.eu/lt/product/jazz-original-s1044-661-5-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_S1044_661_5_CNF_92e36cb9.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Women's Street Shoes,119.00 EUR,79.00 EUR,"Saucony,Gray,Lifestyle,in stock,Yes,Saucony,Female",,,,,,,,119€,79€
S1044_662_5_CNF,,Jazz original,http://ballzy.eu/lt/product/jazz-original-s1044-662-5-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_S1044_662_5_CNF_cd969942.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Women's Street Shoes,119.00 EUR,79.00 EUR,"Saucony,Smėlinė,Lifestyle,in stock,Yes,Saucony,Female",,,,,,,,119€,79€
S2108_822_3.5_CNF,,Shadow original,http://ballzy.eu/lt/product/shadow-original-s2108-822-3-5-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_S2108_822_3.5_CNF_3439b7f1.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Kids' Street Shoes,134.00 EUR,89.00 EUR,"Saucony,Gray,Lifestyle,in stock,Yes,Saucony,Male|Female|Children",,,,,,,,134€,89€
MR530SG_8_CNF,,New balance 530,http://ballzy.eu/lt/product/new-balance-530-mr530sg-8-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_MR530SG_8_CNF_d995976d.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Women's Street Shoes,119.00 EUR,,"New Balance,White,Lifestyle,in stock,No,New Balance,Male|Female",,,,,,,,119€,
DH2925_111_10.5C_CNF,,Force 1 le ps,http://ballzy.eu/lt/product/force-1-le-ps-dh2925-111-10-5c-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_DH2925_111_10.5C_CNF_5d064fc3.jpg,,"salute to a legendale… sellest ongi legendid tehtud. nike force 1 le toob tagasi 82. aasta kõvapuu ikooni igapäevaseks stiiliks, mis on kas täielikult valge või täielikult must. lase vastupidavusel, pehmendusel ja tunnetusel tutvustada väikestele jalgadele klassikalist… toote omadused: ehtne ja sünteetiline nahk on vastupidav ja kergesti puhastatav… pehme vaht annab klassikalise pehmenduse… kummist tald toob vastupidava haardumise… toote omadust Apsilankykite pas mus ballzy.eu.",Kids' Street Shoes,79.00 EUR,59.00 EUR,"Nike,White,Lifestyle,in stock,Yes,Nike,Children",,,,,,,,79€,59€
A00915C_281_10_CNF,,Chuck 70 plus hi egret/black/egret,http://ballzy.eu/lt/product/chuck-70-plus-hi-egret-black-egret-a00915c-281-10-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_A00915C_281_10_CNF_b0ba8616.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Kids' Street Shoes,119.00 EUR,79.00 EUR,"Converse,Smėlinė,Lifestyle,in stock,Yes,Converse,Male|Female|Children",,,,,,,,119€,79€
VN0A5HZYA041_085_CNF,,Ua sk8-hi mte-1,http://ballzy.eu/lt/product/ua-sk8-hi-mte-1-vn0a5hzya041-085-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_VN0A5HZYA041_085_CNF_4820939f.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Women's Street Shoes,124.00 EUR,49.00 EUR,"Vans,Black,Lifestyle,in stock,Yes,Vans,Female",,,,,,,,124€,49€
DD1399_105_6_CNF,,Nike dunk hi retro,http://ballzy.eu/lt/product/nike-dunk-hi-retro-dd1399-105-6-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_DD1399_105_6_CNF_59f41d49.jpg,,"bringing old school back… 80ndate b-ball ikoon on loodud kõvaplatsile, kuid viidud tänavatele, '80ndate b-ball ikoon naaseb ideaalselt kaetud kattekihiga ja originaalsete ülikooli värvidega. nike dunk high retro klassikalise korvpalli disainiga toob 80ndate vintage´i tagasi tänavale, samas kui selle polsterdatud kõrge krae lisab vanakooli välimuse, mis põhineb mugavusel… toote omadused: pealse karge nahk on kergelt läikiv, vananeb pehmeks ja sellel on vastupidavad k Apsilankykite pas mus ballzy.eu.",Kids' Street Shoes,149.00 EUR,97.00 EUR,"Nike,Black,Lifestyle,in stock,Yes,Nike,Male|Female|Children",,,,,,,,149€,97€
S70699_1_7_CNF,,3d grid hurricane,http://ballzy.eu/lt/product/3d-grid-hurricane-s70699-1-7-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_S70699_1_7_CNF_67ba114f.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Kids' Street Shoes,174.00 EUR,109.00 EUR,"Saucony,White,Lifestyle,in stock,Yes,Saucony,Male|Female|Children",,,,,,,,174€,109€
S70699_2_7_CNF,,3d grid hurricane,http://ballzy.eu/lt/product/3d-grid-hurricane-s70699-2-7-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_S70699_2_7_CNF_61ab9ab2.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Kids' Street Shoes,174.00 EUR,109.00 EUR,"Saucony,Black,Lifestyle,in stock,Yes,Saucony,Male|Female|Children",,,,,,,,174€,109€
TB0A5RPR0321_9.5_CNF,,Greyfield leather boot,http://ballzy.eu/lt/product/greyfield-leather-boot-tb0a5rpr0321-9-5-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_TB0A5RPR0321_9.5_CNF_917e70c0.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Women's Boots,139.00 EUR,111.20 EUR,"Timberland,Gray,Lifestyle,in stock,Yes,Timberland,Female",,,,,,,,139€,111.20€
TB08658A0011_9.5_CNF,,6in premium boot - w,http://ballzy.eu/lt/product/6in-premium-boot-w-tb08658a0011-9-5-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_TB08658A0011_9.5_CNF_e9789f12.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Women's Boots,219.00 EUR,175.20 EUR,"Timberland,Black,Lifestyle,in stock,Yes,Timberland,Female",,,,,,,,219€,175.20€
MR530EMA_4_CNF,,New balance 530,http://ballzy.eu/lt/product/new-balance-530-mr530ema-4-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_MR530EMA_4_CNF_eeef031b.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Kids' Street Shoes,114.00 EUR,,"New Balance,White,Lifestyle,in stock,No,New Balance,Male|Female|Children",,,,,,,,114€,
TB0A5MC42311_6_CNF,,6in hertbt cupsole,http://ballzy.eu/lt/product/6in-hertbt-cupsole-tb0a5mc42311-6-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_TB0A5MC42311_6_CNF_ac7c526e.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Women's Boots,209.00 EUR,99.00 EUR,"Timberland,Įvairiaspalvė,Lifestyle,in stock,Yes,Timberland,Female",,,,,,,,209€,99€
S70716_1_5.5_CNF,,Shadow 5000,http://ballzy.eu/lt/product/shadow-5000-s70716-1-5-5-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_S70716_1_5.5_CNF_1d3ae055.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Men's Street Shoes,159.00 EUR,109.00 EUR,"Saucony,Smėlinė,Lifestyle,in stock,Yes,Saucony,Male",,,,,,,,159€,109€
VN0005V4BLK1_085_CNF,,Skate half cab ´92 goretex,http://ballzy.eu/lt/product/skate-half-cab-92-goretex-vn0005v4blk1-085-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_VN0005V4BLK1_085_CNF_24bec539.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Men's Street Shoes,144.00 EUR,79.00 EUR,"Vans,Black,Lifestyle,in stock,Yes,Vans,Male",,,,,,,,144€,79€
S70704_1_7_CNF,,Progrid triumph 4,http://ballzy.eu/lt/product/progrid-triumph-4-s70704-1-7-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_S70704_1_7_CNF_51a7881d.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Kids' Street Shoes,179.00 EUR,129.00 EUR,"Saucony,Yellow,Lifestyle,in stock,Yes,Saucony,Male|Female|Children",,,,,,,,179€,129€
S70706_1_7_CNF,,Shadow 6000,http://ballzy.eu/lt/product/shadow-6000-s70706-1-7-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_S70706_1_7_CNF_ab2deef0.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Kids' Street Shoes,179.00 EUR,119.00 EUR,"Saucony,Smėlinė,Lifestyle,in stock,Yes,Saucony,Male|Female|Children",,,,,,,,179€,119€
S70714_1_5_CNF,,Grid azura 2000,http://ballzy.eu/lt/product/grid-azura-2000-s70714-1-5-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_S70714_1_5_CNF_7b0b6371.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Women's Street Shoes,189.00 EUR,119.00 EUR,"Saucony,Smėlinė,Lifestyle,in stock,Yes,Saucony,Female",,,,,,,,189€,119€
S70714_3_7_CNF,,Grid azura 2000,http://ballzy.eu/lt/product/grid-azura-2000-s70714-3-7-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_S70714_3_7_CNF_d331f502.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Kids' Street Shoes,189.00 EUR,119.00 EUR,"Saucony,Green,Lifestyle,in stock,Yes,Saucony,Male|Female|Children",,,,,,,,189€,119€
M2002RST_07_CNF,,New balance 2002r,http://ballzy.eu/lt/product/new-balance-2002r-m2002rst-07-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_M2002RST_07_CNF_fcb56216.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Men's Street Shoes,159.00 EUR,127.00 EUR,"New Balance,Gray,Lifestyle,in stock,Yes,New Balance,Male",,,,,,,,159€,127€
M2002RBK_07_CNF,,New balance 2002r,http://ballzy.eu/lt/product/new-balance-2002r-m2002rbk-07-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_M2002RBK_07_CNF_dc7dad7e.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Women's Street Shoes,149.00 EUR,74.00 EUR,"New Balance,Black,Lifestyle,in stock,Yes,New Balance,Male|Female",,,,,,,,149€,74€
BB650RBR_D_8_CNF,,New balance 650,http://ballzy.eu/lt/product/new-balance-650-bb650rbr-d-8-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_BB650RBR_D_8_CNF_f268a7a6.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Kids' Street Shoes,179.00 EUR,79.00 EUR,"New Balance,Red,Lifestyle,in stock,Yes,New Balance,Male|Female|Children",,,,,,,,179€,79€
MR530AA_8_CNF,,New balance 530,http://ballzy.eu/lt/product/new-balance-530-mr530aa-8-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_MR530AA_8_CNF_79d01c84.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Women's Street Shoes,124.00 EUR,79.00 EUR,"New Balance,Gray,Lifestyle,in stock,Yes,New Balance,Male|Female",,,,,,,,124€,79€
DD1869_103_6_CNF,,W nike dunk high,http://ballzy.eu/lt/product/w-nike-dunk-high-dd1869-103-6-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_DD1869_103_6_CNF_f804aefd.jpg,,"bringing old school back… 80ndate b-palli ikoon, mis on loodud kõvale kõnniteele, kuid viidud tänavatele, naaseb karge naha ja retrohõnguliste värvidega. klassikaline rõngaste disain suunab '80ndate vintage´i tagasi tänavatele, samal ajal kui polsterdatud, kõrge krae lisab vanakooli välimuse, mis on juurdunud mugavuse… toote omadused: karge nahk pealsel vananeb pehmeks täiuslikkuseks ja sellel on '80ndate b-ball´i meenutavad vastupidavad katted… vahtpolster p Apsilankykite pas mus ballzy.eu.",Women's Street Shoes,134.00 EUR,88.00 EUR,"Nike,Black,Lifestyle,in stock,Yes,Nike,Female",,,,,,,,134€,88€
U9060GRY_8_CNF,,New balance 9060,http://ballzy.eu/lt/product/new-balance-9060-u9060gry-8-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_U9060GRY_8_CNF_910f3d10.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Men's Street Shoes,189.00 EUR,,"New Balance,Gray,Lifestyle,in stock,No,New Balance,Male",,,,,,,,189€,
DD1873_102_6_CNF,,W nike dunk low next nature,http://ballzy.eu/lt/product/w-nike-dunk-low-next-nature-dd1873-102-6-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_DD1873_102_6_CNF_e56b20f1.jpg,,"see on loodud kõva puidu jaoks, kuid viidud tänavale, '80ndate ikoon naaseb, et lasta sul teha head, nähes hea välja. nüüd valmistatud vähemalt 20% ulatuses taaskasutatud materjalidest, värskendasime klassikat, mis säilitab algse terviklikkuse, kuid mille mõju on minimaalne. sünteetilisest nahast valmistatud dunk low suunab tänavale vintage-pallurite stiili ja lihtsa eluviisi… toote omadused: sunburst-sümbol esindab 1 väikest sammu meie teekonnal move to zero… karge Apsilankykite pas mus ballzy.eu.",Women's Street Shoes,149.00 EUR,99.00 EUR,"Nike,Black,Lifestyle,in stock,Yes,Nike,Female",,,,,,,,149€,99€
805899_202_8.5_CNF,,Lunar force 1 duckboot,http://ballzy.eu/lt/product/lunar-force-1-duckboot-805899-202-8-5-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_805899_202_8.5_CNF_b60b74ec.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Men's Boots,219.00 EUR,175.20 EUR,"Nike,Brown,Lifestyle,in stock,Yes,Nike,Male",,,,,,,,219€,175.20€
