ID,ID2,Item title,Final URL,Image URL,Item subtitle,Item Description,Item category,Price,Sale price,Contextual keywords,Item address,Tracking template,Custom parameter,Final mobile URL,Android app link,iOS app link,iOS app store ID,Formatted price,Formatted sale price
DM9650_001_4Y_CNF,,Air jordan 1 mid ss gs,http://ballzy.eu/lt/product/air-jordan-1-mid-ss-gs-dm9650-001-4y-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_DM9650_001_4Y_CNF.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Kids' Street Shoes,109.00 EUR,71.00 EUR,"Jordan,Red,Lifestyle,in stock,Yes,Jordan,Female|Children",,,,,,,,109€,71€
DM0211_100_8_CNF,,Air force 1 ´07 fresh,http://ballzy.eu/lt/product/air-force-1-07-fresh-dm0211-100-8-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_DM0211_100_8_CNF.jpg,,"legendaarne stiil muutub värskeks… vananemist ei saa peatada, kuid air force 1 ""fresh"" jõuab sellele üsna lähedale. pehme, tekstuurne nahk aitab varjata kortsumist ja seda on lihtne puhastada. debossitud kaubamärgiga, mis asendab kootud sildid, paarib lisapaelad, nii et saate rahulikult seda marmelaadifunkrit süüa. ja perforeeritud sokkpolster hoiab selle õhulisuse ja hingavuse. nüüd ei ole tõesti mingit põhjust, miks mitte rokkida valgeid valgeid… tooteomadused: pe Apsilankykite pas mus ballzy.eu.",Men's Street Shoes,134.00 EUR,,"Nike,White,Lifestyle,in stock,No,Nike,Male",,,,,,,,134€,
S1044_661_5_CNF,,Jazz original,http://ballzy.eu/lt/product/jazz-original-s1044-661-5-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_S1044_661_5_CNF.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Women's Street Shoes,119.00 EUR,79.00 EUR,"Saucony,Gray,Lifestyle,in stock,Yes,Saucony,Female",,,,,,,,119€,79€
S1044_662_5_CNF,,Jazz original,http://ballzy.eu/lt/product/jazz-original-s1044-662-5-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_S1044_662_5_CNF.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Women's Street Shoes,119.00 EUR,79.00 EUR,"Saucony,Smėlinė,Lifestyle,in stock,Yes,Saucony,Female",,,,,,,,119€,79€
S2108_822_3.5_CNF,,Shadow original,http://ballzy.eu/lt/product/shadow-original-s2108-822-3-5-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_S2108_822_3.5_CNF.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Kids' Street Shoes,134.00 EUR,89.00 EUR,"Saucony,Gray,Lifestyle,in stock,Yes,Saucony,Male|Female|Children",,,,,,,,134€,89€
MR530SG_8_CNF,,New balance 530,http://ballzy.eu/lt/product/new-balance-530-mr530sg-8-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_MR530SG_8_CNF.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Women's Street Shoes,119.00 EUR,,"New Balance,White,Lifestyle,in stock,No,New Balance,Male|Female",,,,,,,,119€,
DH2925_111_10.5C_CNF,,Force 1 le ps,http://ballzy.eu/lt/product/force-1-le-ps-dh2925-111-10-5c-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_DH2925_111_10.5C_CNF.jpg,,"salute to a legendale… sellest ongi legendid tehtud. nike force 1 le toob tagasi 82. aasta kõvapuu ikooni igapäevaseks stiiliks, mis on kas täielikult valge või täielikult must. lase vastupidavusel, pehmendusel ja tunnetusel tutvustada väikestele jalgadele klassikalist… toote omadused: ehtne ja sünteetiline nahk on vastupidav ja kergesti puhastatav… pehme vaht annab klassikalise pehmenduse… kummist tald toob vastupidava haardumise… toote omadust Apsilankykite pas mus ballzy.eu.",Kids' Street Shoes,79.00 EUR,59.00 EUR,"Nike,White,Lifestyle,in stock,Yes,Nike,Children",,,,,,,,79€,59€
A00915C_281_10_CNF,,Chuck 70 plus hi egret/black/egret,http://ballzy.eu/lt/product/chuck-70-plus-hi-egret-black-egret-a00915c-281-10-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_A00915C_281_10_CNF.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Kids' Street Shoes,119.00 EUR,79.00 EUR,"Converse,Smėlinė,Lifestyle,in stock,Yes,Converse,Male|Female|Children",,,,,,,,119€,79€
VN0A5HZYA041_085_CNF,,Ua sk8-hi mte-1,http://ballzy.eu/lt/product/ua-sk8-hi-mte-1-vn0a5hzya041-085-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_VN0A5HZYA041_085_CNF.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Women's Street Shoes,124.00 EUR,49.00 EUR,"Vans,Black,Lifestyle,in stock,Yes,Vans,Female",,,,,,,,124€,49€
DD1399_105_6_CNF,,Nike dunk hi retro,http://ballzy.eu/lt/product/nike-dunk-hi-retro-dd1399-105-6-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_DD1399_105_6_CNF.jpg,,"bringing old school back… 80ndate b-ball ikoon on loodud kõvaplatsile, kuid viidud tänavatele, '80ndate b-ball ikoon naaseb ideaalselt kaetud kattekihiga ja originaalsete ülikooli värvidega. nike dunk high retro klassikalise korvpalli disainiga toob 80ndate vintage´i tagasi tänavale, samas kui selle polsterdatud kõrge krae lisab vanakooli välimuse, mis põhineb mugavusel… toote omadused: pealse karge nahk on kergelt läikiv, vananeb pehmeks ja sellel on vastupidavad k Apsilankykite pas mus ballzy.eu.",Kids' Street Shoes,149.00 EUR,97.00 EUR,"Nike,Black,Lifestyle,in stock,Yes,Nike,Male|Female|Children",,,,,,,,149€,97€
S70699_1_7_CNF,,3d grid hurricane,http://ballzy.eu/lt/product/3d-grid-hurricane-s70699-1-7-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_S70699_1_7_CNF.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Kids' Street Shoes,174.00 EUR,109.00 EUR,"Saucony,White,Lifestyle,in stock,Yes,Saucony,Male|Female|Children",,,,,,,,174€,109€
S70699_2_7_CNF,,3d grid hurricane,http://ballzy.eu/lt/product/3d-grid-hurricane-s70699-2-7-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_S70699_2_7_CNF.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Kids' Street Shoes,174.00 EUR,109.00 EUR,"Saucony,Black,Lifestyle,in stock,Yes,Saucony,Male|Female|Children",,,,,,,,174€,109€
TB0A5RPR0321_9.5_CNF,,Greyfield leather boot,http://ballzy.eu/lt/product/greyfield-leather-boot-tb0a5rpr0321-9-5-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_TB0A5RPR0321_9.5_CNF.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Women's Boots,139.00 EUR,111.20 EUR,"Timberland,Gray,Lifestyle,in stock,Yes,Timberland,Female",,,,,,,,139€,111.20€
TB08658A0011_9.5_CNF,,6in premium boot - w,http://ballzy.eu/lt/product/6in-premium-boot-w-tb08658a0011-9-5-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_TB08658A0011_9.5_CNF.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Women's Boots,219.00 EUR,175.20 EUR,"Timberland,Black,Lifestyle,in stock,Yes,Timberland,Female",,,,,,,,219€,175.20€
MR530EMA_4_CNF,,New balance 530,http://ballzy.eu/lt/product/new-balance-530-mr530ema-4-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_MR530EMA_4_CNF.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Kids' Street Shoes,114.00 EUR,,"New Balance,White,Lifestyle,in stock,No,New Balance,Male|Female|Children",,,,,,,,114€,
TB0A5MC42311_6_CNF,,6in hertbt cupsole,http://ballzy.eu/lt/product/6in-hertbt-cupsole-tb0a5mc42311-6-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_TB0A5MC42311_6_CNF.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Women's Boots,209.00 EUR,99.00 EUR,"Timberland,Įvairiaspalvė,Lifestyle,in stock,Yes,Timberland,Female",,,,,,,,209€,99€
S70716_1_5.5_CNF,,Shadow 5000,http://ballzy.eu/lt/product/shadow-5000-s70716-1-5-5-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_S70716_1_5.5_CNF.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Men's Street Shoes,159.00 EUR,109.00 EUR,"Saucony,Smėlinė,Lifestyle,in stock,Yes,Saucony,Male",,,,,,,,159€,109€
VN0005V4BLK1_085_CNF,,Skate half cab ´92 goretex,http://ballzy.eu/lt/product/skate-half-cab-92-goretex-vn0005v4blk1-085-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_VN0005V4BLK1_085_CNF.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Men's Street Shoes,144.00 EUR,79.00 EUR,"Vans,Black,Lifestyle,in stock,Yes,Vans,Male",,,,,,,,144€,79€
S70704_1_7_CNF,,Progrid triumph 4,http://ballzy.eu/lt/product/progrid-triumph-4-s70704-1-7-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_S70704_1_7_CNF.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Kids' Street Shoes,179.00 EUR,129.00 EUR,"Saucony,Yellow,Lifestyle,in stock,Yes,Saucony,Male|Female|Children",,,,,,,,179€,129€
S70706_1_7_CNF,,Shadow 6000,http://ballzy.eu/lt/product/shadow-6000-s70706-1-7-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_S70706_1_7_CNF.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Kids' Street Shoes,179.00 EUR,119.00 EUR,"Saucony,Smėlinė,Lifestyle,in stock,Yes,Saucony,Male|Female|Children",,,,,,,,179€,119€
S70714_1_5_CNF,,Grid azura 2000,http://ballzy.eu/lt/product/grid-azura-2000-s70714-1-5-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_S70714_1_5_CNF.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Women's Street Shoes,189.00 EUR,119.00 EUR,"Saucony,Smėlinė,Lifestyle,in stock,Yes,Saucony,Female",,,,,,,,189€,119€
S70714_3_7_CNF,,Grid azura 2000,http://ballzy.eu/lt/product/grid-azura-2000-s70714-3-7-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_S70714_3_7_CNF.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Kids' Street Shoes,189.00 EUR,119.00 EUR,"Saucony,Green,Lifestyle,in stock,Yes,Saucony,Male|Female|Children",,,,,,,,189€,119€
M2002RST_07_CNF,,New balance 2002r,http://ballzy.eu/lt/product/new-balance-2002r-m2002rst-07-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_M2002RST_07_CNF.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Men's Street Shoes,159.00 EUR,127.00 EUR,"New Balance,Gray,Lifestyle,in stock,Yes,New Balance,Male",,,,,,,,159€,127€
M2002RBK_07_CNF,,New balance 2002r,http://ballzy.eu/lt/product/new-balance-2002r-m2002rbk-07-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_M2002RBK_07_CNF.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Women's Street Shoes,149.00 EUR,74.00 EUR,"New Balance,Black,Lifestyle,in stock,Yes,New Balance,Male|Female",,,,,,,,149€,74€
BB650RBR_D_8_CNF,,New balance 650,http://ballzy.eu/lt/product/new-balance-650-bb650rbr-d-8-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_BB650RBR_D_8_CNF.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Kids' Street Shoes,179.00 EUR,79.00 EUR,"New Balance,Red,Lifestyle,in stock,Yes,New Balance,Male|Female|Children",,,,,,,,179€,79€
MR530AA_8_CNF,,New balance 530,http://ballzy.eu/lt/product/new-balance-530-mr530aa-8-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_MR530AA_8_CNF.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Women's Street Shoes,124.00 EUR,79.00 EUR,"New Balance,Gray,Lifestyle,in stock,Yes,New Balance,Male|Female",,,,,,,,124€,79€
DD1869_103_6_CNF,,W nike dunk high,http://ballzy.eu/lt/product/w-nike-dunk-high-dd1869-103-6-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_DD1869_103_6_CNF.jpg,,"bringing old school back… 80ndate b-palli ikoon, mis on loodud kõvale kõnniteele, kuid viidud tänavatele, naaseb karge naha ja retrohõnguliste värvidega. klassikaline rõngaste disain suunab '80ndate vintage´i tagasi tänavatele, samal ajal kui polsterdatud, kõrge krae lisab vanakooli välimuse, mis on juurdunud mugavuse… toote omadused: karge nahk pealsel vananeb pehmeks täiuslikkuseks ja sellel on '80ndate b-ball´i meenutavad vastupidavad katted… vahtpolster p Apsilankykite pas mus ballzy.eu.",Women's Street Shoes,134.00 EUR,88.00 EUR,"Nike,Black,Lifestyle,in stock,Yes,Nike,Female",,,,,,,,134€,88€
U9060GRY_8_CNF,,New balance 9060,http://ballzy.eu/lt/product/new-balance-9060-u9060gry-8-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_U9060GRY_8_CNF.jpg,,Sportinė apranga. Apsilankykite pas mus ballzy.eu.,Men's Street Shoes,189.00 EUR,,"New Balance,Gray,Lifestyle,in stock,No,New Balance,Male",,,,,,,,189€,
DD1873_102_6_CNF,,W nike dunk low next nature,http://ballzy.eu/lt/product/w-nike-dunk-low-next-nature-dd1873-102-6-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_DD1873_102_6_CNF.jpg,,"see on loodud kõva puidu jaoks, kuid viidud tänavale, '80ndate ikoon naaseb, et lasta sul teha head, nähes hea välja. nüüd valmistatud vähemalt 20% ulatuses taaskasutatud materjalidest, värskendasime klassikat, mis säilitab algse terviklikkuse, kuid mille mõju on minimaalne. sünteetilisest nahast valmistatud dunk low suunab tänavale vintage-pallurite stiili ja lihtsa eluviisi… toote omadused: sunburst-sümbol esindab 1 väikest sammu meie teekonnal move to zero… karge Apsilankykite pas mus ballzy.eu.",Women's Street Shoes,149.00 EUR,99.00 EUR,"Nike,Black,Lifestyle,in stock,Yes,Nike,Female",,,,,,,,149€,99€
